Gene_ID	DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
LOC105375022	51	46	76	78
RING1	2372	2371	2050	2332
MIR219A1	6	5	7	2
HSD17B8	459	569	378	556
SLC39A7	9124	9427	8613	10024
RNY4P10	0	0	0	0
RXRB	4227	3956	4506	4726
HCG24	0	0	0	0
LOC105375021	0	0	6	0
LOC124905396	0	0	0	0
MTCO3P1	0	0	0	0
RNU1-116P	0	0	0	0
HLA-DRB2	0	0	0	0
HLA-DRB3	0	0	0	0
LOC124905397	0	0	0	0
RNA5SP206	0	0	2	0
C4A	95	107	101	110
ZBTB12	461	479	428	452
SNORD52	147	108	122	147
SNORD48	64	46	63	71
SNHG32	6692	7707	7173	8056
HSPA1B	4498	4047	4245	3328
HSPA1A	3727	3022	3551	2722
HSPA1L	147	109	136	82
LSM2	3680	3678	3850	4196
LOC105375020	0	0	0	0
LOC105379656	0	0	0	0
CCHCR1	2373	2399	2387	2581
POLR2LP1	1	0	1	0
PSORS1C2	0	0	0	0
CDSN	22	17	15	14
PSORS1C1	58	52	57	50
C6orf15	0	1	0	0
MUC21	0	0	0	0
NAPGP2	0	0	0	0
HCG21	0	0	0	0
MUCL3	28	19	34	24
LOC124901299	4	9	0	5
SFTA2	0	0	0	0
VARS2	7615	9783	7476	11036
GTF2H4	2442	2683	2363	2868
MIR4640	14	16	11	14
DDR1	16047	15880	15152	18035
RN7SKP186	0	0	0	0
LINC02570	0	0	0	0
LOC124905395	0	0	0	0
RPL7P4	9	4	4	4
NRM	629	595	558	704
PPP1R18	7814	7456	7925	8816
TMPOP1	0	0	0	0
TRIM26BP	0	0	0	0
HLA-W	2	0	6	0
LOC124905394	0	0	0	0
LOC353009	0	0	0	0
LOC107987452	0	0	0	0
HCG4P11	0	0	4	2
OR2H2	0	0	0	0
RPL13AP	0	0	0	0
SNORD32B	0	0	0	0
TMEM183AP1	0	0	0	0
OR2H5P	0	0	0	0
UBD	0	3	2	2
LOC124905393	0	0	0	0
LOC105379641	0	0	0	0
LOC112268339	0	0	0	0
LOC124905398	0	0	0	0
LOC112268337	0	0	0	0
HLA-DQB1-AS1	0	0	0	0
FKBPL	690	735	599	779
ATF6B	7062	6382	6311	6966
LOC110384692	0	0	0	0
LOC112267902	0	0	0	0
HCG4P8	0	0	0	0
LOC107987447	0	0	0	0
LOC124901486	0	0	0	0
LOC124905392	0	0	0	0
LOC124905352	0	0	0	0
LOC112268336	0	0	0	0
LOC124901302	92	66	50	34
LOC124905389	0	0	0	0
LOC100294188	0	0	0	0
LOC112268335	0	0	0	0
LOC124905388	0	0	0	0
HLA-S	0	0	0	0
ZDHHC20P2	0	0	0	0
LOC124905390	0	0	0	0
LOC107987443	0	0	0	0
LOC124905387	0	0	0	0
LOC105374298	0	0	0	0
LOC124905391	0	0	0	0
TCF20	19314	18845	18198	20034
CYP2D8P	168	178	133	223
LOC105377203	85	60	58	89
CYP2D7	171	206	165	248
LOC102723722	0	0	0	0
CYP2D6	68	51	54	105
OLA1P1	382	356	409	359
NDUFA6-DT	67	57	60	69
NDUFA6	4085	3838	4458	4035
SMDT1	1755	1734	1743	1856
PHETA2	10	2	8	9
LOC107987441	0	0	0	0
LOC124905386	0	0	0	0
MUC2	76	31	50	52
LOC107987157	45	23	30	30
LINC02688	0	0	0	0
LOC124905385	0	0	0	0
MUC6	6	0	0	0
AP2A2	12441	12439	10966	12733
RNU6-1025P	5	21	13	13
LOC105377779	0	0	0	0
MIR3674	4	1	2	6
CLN8	3308	3247	3090	3522
CLN8-AS1	451	455	450	590
LOC124905384	0	0	0	0
LOC105377778	2	6	0	2
LOC100130321	0	0	0	0
LOC124901870	0	0	0	4
DLGAP2	1	0	0	0
DLGAP2-AS1	0	0	0	0
LOC124905383	0	0	0	0
LOC124905382	0	0	0	0
LOC112267927	0	0	0	0
LOC100294160	0	0	0	0
LOC124905381	0	0	0	0
LOC124905380	0	0	0	0
LOC107987440	0	0	0	0
LOC124905379	0	0	0	0
LINC01596	0	0	0	0
LOC105377619	0	0	0	0
FRG1-DT	12	16	12	9
RNU1-51P	0	0	0	0
LOC105377616	10	2	0	11
LOC107987311	0	0	0	0
LINC01262	0	0	0	0
LOC105377615	0	0	0	0
HSP90AA4P	1	1	2	1
LOC105377614	0	0	0	0
KRT18P53	0	0	0	0
FABP5P13	0	0	0	0
LOC102723840	0	0	0	0
LOC124900588	0	0	0	0
LOC101929829	0	0	0	0
LOC107987438	0	0	0	0
LOC124905377	0	0	0	0
LOC124905378	0	0	0	0
LOC105372225	0	0	0	0
SALL3	0	0	0	0
LINC01896	0	0	0	0
LOC105372221	0	0	0	0
LOC105372220	0	0	0	0
LOC105372219	0	0	0	0
WNT9B	0	0	0	0
LOC101929777	0	0	0	0
WNT3	384	467	390	382
RPS7P11	1233	1130	1292	1199
LOC107985026	28	14	18	9
NSF	3761	3643	3443	3464
LOC124905375	0	0	0	0
RN7SL199P	1	0	0	0
LRRC37A2	294	255	247	261
ARL17A	654	629	689	661
RDM1P2	26	21	11	12
LOC124905376	0	0	0	0
LOC124904014	0	0	0	0
LOC100132570	30	16	17	17
DND1P2	0	2	0	0
MAPK8IP1P1	0	0	0	0
KANSL1-AS1	44	32	38	32
LOC107985027	210	232	222	246
KANSL1	8501	8105	7554	9047
STH	0	2	0	0
LOC105371800	0	0	1	0
MAPT-IT1	0	5	4	2
MAPT	189	188	111	178
SPPL2C	0	0	0	0
MAPT-AS1	0	0	0	0
CRHR1	0	0	0	0
LOC107985028	0	0	0	0
LOC105371802	0	0	0	0
ARF2P	459	412	445	476
LINC02210-CRHR1	0	0	0	0
LINC02210	432	355	356	475
RPS26P8	10	10	12	11
MAPK8IP1P2	4	9	6	3
DND1P1	46	39	59	56
RDM1P1	17	14	13	14
LOC102724345	82	97	71	75
LRRC37A4P	1999	1790	1731	1912
LOC112267925	0	0	0	0
LRRC37A3	198	178	190	187
LOC105369225	35	35	30	50
LOC124904113	1	2	19	2
MIR4315-1	0	0	0	0
PLEKHM1	3827	3296	3462	3728
ARHGAP27	4618	4472	4355	5028
LOC105371796	2	0	0	0
RNA5SP443	0	0	0	0
KRTAP9-12P	0	0	0	0
KRTAP9-2	0	0	0	0
KRTAP9-4	0	0	0	0
KRTAP9-9	0	0	0	0
KRTAP9-6	0	0	0	0
KRTAP9-11P	0	0	0	0
KRTAP9-7	0	0	0	0
KRTAP9-10P	0	0	0	0
KRTAP29-1	0	0	0	0
LOC124900636	0	0	0	0
TBC1D3I	9	11	8	20
LOC124900635	0	0	0	0
CCL4L1	0	0	0	0
CCL3L1	0	0	0	0
LOC124905374	0	0	0	0
CCL3P1	0	0	0	0
LOC124905373	0	0	0	0
TBC1D3G	64	60	133	106
LOC100420853	0	0	0	0
YWHAEP6	0	0	0	0
LOC105379635	0	0	0	0
CCL4L2	0	0	0	0
CCL3L3	4	2	4	4
TBC1D3B	3	5	2	5
LOC100420851	27	33	17	18
LOC100419980	0	0	2	0
LOC101927369	0	0	0	0
RN7SL301P	0	0	0	0
CCL4	0	0	0	0
CCL3	2	0	0	2
CCL18	0	0	0	0
MIR3183	3	0	0	3
LOC105371481	12	18	24	29
ABR	9911	10148	8605	10621
TIMM22	3295	3384	3392	3844
NXN	4822	4880	4359	5028
RPH3AL-AS1	0	0	0	0
LOC105371425	0	0	0	0
RPH3AL	151	128	117	170
LOC124903606	0	0	0	0
