DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
IER3-AS1	42.4548348216357	63.2847568338181	31.1448210633642	60.7079094486715
FLOT1	4466.64355193209	4047.16227171111	4373.77103799844	3848.31232239469
TUBB	125610.033732859	121025.973113371	137908.229507874	126777.086150529
MDC1-AS1	6.91125218026627	16.3315501506627	21.8013747443549	28.4568325540648
MDC1	9594.79266968966	9483.52702811297	10770.9172844134	11063.0679359353
LOC107987457	0	0	0	0
DHX16	6730.57230183931	6862.3132289316	7019.00450698017	7450.94732373929
C6orf136	2046.71796709886	1956.72385242628	2031.68049403346	2078.29733753186
PTMAP1	19.7464348007608	20.4144376883284	32.1829817654763	36.0453212351487
ATAT1	466.015861297955	417.475250726316	423.569566461753	427.801049396107
MRPS18B	7736.65315493808	8122.90475618588	7581.68760752495	8016.28973048005
PPP1R10	19406.7961221877	18538.350864771	19298.3692915626	19814.4925073953
MIR877	0	0	0	0
ABCF1	14776.2571614093	14224.7801812272	15304.5650705372	14790.9130005177
PRR3	1960.82097571555	2070.0239815965	2191.55724215873	2281.28940975086
GNL1	6581.48671909357	6669.3967927769	6384.68831798965	6480.56933364569
LINC02569	32.5816174212553	36.7459878389912	31.1448210633642	16.1255384473034
HLA-E	12504.4298375818	12272.1392163386	11837.1083254826	11609.4391209733
RANP1	278.424730690727	210.268708189783	231.509836571007	187.815094856828
SUCLA2P1	1.97464348007608	4.08288753766568	2.07632140422428	0.948561085135493
LOC105375012	0	1.02072188441642	0	0
MICC	0	0	0	0
UBQLN1P1	0	0	0	0
HLA-N	1.97464348007608	0	4.15264280844856	5.69136651081296
RPP21	4.9366087001902	3.06216565324926	7.26712491478497	3.79424434054197
TRIM39-RPP21	2.96196522011412	0	0	0
TRIM39	993.245670478267	954.374961929354	1020.51197017623	1047.21143798958
HCG18	3970.02071669296	3688.88889028095	3426.96847767217	3302.88969844179
HLA-L	96.7575305237278	90.8442477130615	99.6634274027654	125.210063237885
HCG17	26.6576869810271	35.7252659545747	21.8013747443549	25.6111492986583
PAIP1P1	145.136295785592	93.9064133663107	106.93055231755	99.5989139392267
TRIM26	12093.7039937259	11385.1318987808	12101.8393045212	11857.9621252788
TRIM15	165.870052326391	142.901063818299	153.647783912597	147.026968196001
TRIM10	37.5182261214455	18.3729939194956	21.8013747443549	22.7654660432518
TRIM40	18.7591130607227	8.16577507533137	18.6868926380185	1.89712217027099
LOC124900227	0	0	0	1.89712217027099
TRIM31-AS1	7.89857392030431	22.4558814571613	12.4579284253457	18.9712217027099
TRIM31	2.96196522011412	2.04144376883284	0	7.58848868108394
RNF39	430.472278656585	458.304126102973	433.951173482874	449.617954354224
PPP1R11	4283.98903002505	4326.84006804121	3933.59090030289	3873.92347169335
POLR1H	2059.55314971935	2168.01328250048	2025.45152982078	2107.70273117106
ETF1P1	0	0	0	0
HLA-J	0	1.02072188441642	0	5.69136651081296
HCG4P3	38.5055478614835	35.7252659545747	41.5264280844856	31.3025158094713
ZNRD1ASP	412.7004873359	371.542765927577	378.928656270931	377.527311883926
LOC353007	11.8478608804565	3.06216565324926	9.34344631900925	5.69136651081296
MCCD1P2	4.9366087001902	3.06216565324926	4.15264280844856	8.53704976621943
DDX39BP2	0	0	0	0
HCG9	4.9366087001902	5.10360942208211	3.11448210633642	12.3312941067614
MICD	28.6323304611031	31.6423784169091	25.9540175528035	29.4053936392003
HLA-A	12978.3442728	13023.3905232691	13048.6418648475	12289.5574190154
HLA-K	19.7464348007608	2.04144376883284	19.7250533401306	3.79424434054197
HCG4B	10.8605391404184	22.4558814571613	15.5724105316821	6.63992759594845
LOC353008	3.94928696015216	3.06216565324926	2.07632140422428	1.89712217027099
MCCD1P1	3.94928696015216	4.08288753766568	2.07632140422428	0
DDX39BP1	0	0	0	0
HLA-H	129.339147944983	155.149726431296	128.731927061905	157.461140132492
HCP5B	1.97464348007608	2.04144376883284	2.07632140422428	1.89712217027099
MICF	0.987321740038039	0	0	0
LOC105375010	0.987321740038039	0	0	0
HCGVIII-2	0	0	0	0
HLA-G	0.987321740038039	0	0	0
MICG	0	0	0	1.89712217027099
RPL7AP7	0	0	0	0
HLA-P	1.97464348007608	2.04144376883284	0	0
HCG4P9	1.97464348007608	0	0	0.948561085135493
HLA-V	70.0998435427008	78.5955851000644	115.235837934447	92.9589863432783
HCG4	23.6957217609129	13.2693844974135	37.373785276037	21.8169049581163
LOC353010	0	0	0	0
LOC105379663	0	0	0	0
IFITM4P	10.8605391404184	9.18649695974779	14.5342498295699	8.53704976621943
HCG9P5	1.97464348007608	0	0	0
MICE	219.185426288445	264.366968063853	325.982460463212	304.488108328493
HLA-F-AS1	173.768626246695	181.688495426123	179.6018014654	125.210063237885
RPL23AP1	1.97464348007608	2.04144376883284	0	0
HLA-F	1156.15375758454	1141.16706677756	1193.88480742896	1088.94812573555
ZDHHC20P1	3.94928696015216	2.04144376883284	0	4.74280542567746
ZFP57	47.3914435218259	34.7045440701583	22.8395354464671	18.0226606175744
MOG	0	0	0	0
SUMO2P1	275.462765470613	289.885015174264	222.166390251998	197.300705708182
GABBR1	2262.94142816719	2334.39094966036	2300.5641158805	2766.95268534023
OR2I1P	0	0	0	0
GPR53P	0	0	0	0
LINC01015	0	0	0	0
LINC02829	0	0	0	0
RPS17P1	0	0	0	0
MAS1L	0	0	0	0
LOC124905400	0	0	0	0
LOC105375008	0	0	0	0
MAS1LP1	0	0	0	0
UBDP1	0	0	0	0
OR2H1	0	0	0	0
OR10C1	0	0	0	0
OR11A1	0	0	0	0
OR12D1	0	0	0	0
OR12D2	0	0	0	3.79424434054197
OR12D3	0	0	0	0
OR5V1	0	0	0	0
DDX6P1	0	0	0	0
OR14J1	0	0	0	0
OR2B4P	0	0	0	0
LOC105375005	0	0	0	0
OR2U2P	0	0	0	0
OR2U1P	0	0	0	0
OR2G1P	0	0	0	0
LINC03003	0	0	0	0
OR2H4P	0	0	0	0
OR2J4P	0	0	0	0
OR2J2	0	0	0	0
OR2N1P	0	0	0	0
OR2J3	0	0	0	0
OR2J1	0	0	0	0
OR2B3	0	0	0	0
SAR1AP1	0	0	0	0
OR2P1P	0	0	1.03816070211214	0
OR2W1	0	0	0	0
OR2W1-AS1	0	0	0	0
OR2AD1P	0	0	0	0
LOC105375002	0	0	0	0
ZNF311	348.524574233428	306.216565324926	265.769139740708	253.265809731177
TRL-AAG3-1	3.94928696015216	10.2072188441642	4.15264280844856	3.79424434054197
HCG15	116.503965324489	104.113632210475	85.1291775731954	105.29028045004
TRE-CTC1-6	0	0	0	0
TRF-GAA1-2	0	0	0	0
RN7SL471P	6016.73868379181	5330.20968042255	4231.54302180908	6341.13085413077
KRT18P1	0	0	0	0
TRM-CAT3-2	3.94928696015216	4.08288753766568	2.07632140422428	1.89712217027099
TRK-TTT3-3	2.96196522011412	0	6.22896421267283	0
TRM-CAT3-1	1.97464348007608	0	0	0
LINC01556	5.92393044022824	10.2072188441642	20.7632140422428	22.7654660432518
TRL-AAG2-2	0	0	0	0
TRQ-CTG1-3	0	0	0	0
TRL-CAA1-2	5.92393044022824	0	0	0
RNU6-930P	0	0	0	0
TRIM27	9297.60882593822	10062.2763365771	8927.14387746228	9655.40328559418
HCG14	0.987321740038039	5.10360942208211	10.3816070211214	6.63992759594845
TRL-CAA1-1	1.97464348007608	4.08288753766568	1.03816070211214	0
ZNF90P2	0	0	0	0
TRR-CCG1-2	0	0	0	0
TRA-AGC2-2	0	0	0	0
RPL13P	0	0	0	0
LINC01623	0	0	0	0
TRA-AGC2-1	0	0	0	0
TRF-GAA4-1	0	0	0	0
TRA-TGC5-1	4.9366087001902	1.02072188441642	6.22896421267283	4.74280542567746
TRA-AGC6-1	0	0	0	0
TRF-GAA3-1	0	0	0	0
TRA-TGC7-1	71.0871652827388	19.393715803912	17.6487319359064	23.7140271283873
LOC124901504	0	0	0	0
TRA-AGC1-1	1.97464348007608	2.04144376883284	2.07632140422428	7.58848868108394
