transcript,MCF10A,MDAMB436
L1FLnI_6q22.31d,120.8906343,102.5669078
L1FLnI_3p14.2b,120.8906343,51.28345391
L1FLnI_1q41aa,117.2272817,0
L1FLnI_4q28.1a,117.2272817,58.12124776
L1FLnI_21q21.1b,117.2272817,317.9574142
L1FLnI_5q35.1d,117.2272817,447.8754974
L1FLnI_Xq13.2ia,113.5639292,119.6613924
L1FLnI_8q11.21f,113.5639292,184.6204341
L1FLnI_14q24.1a,113.5639292,109.4047017
L1FLnI_5q12.1m,113.5639292,99.14801089
L1FLnI_1p22.1b,113.5639292,112.8235986
L1FLnI_Xq22.3ja,113.5639292,17.09448464
L1FLnI_6p21.31,113.5639292,92.31021703
L1FLnI_4q28.2h,113.5639292,85.47242318
L1FLnI_2q14.2l,109.9005766,102.5669078
L1FLnI_4q26wa,109.9005766,608.563653
L1FLnI_5q31.1d,109.9005766,102.5669078
L1FLnI_10q23.32e,109.9005766,20.51338156
L1FLnI_22p11.2o,109.9005766,6.837793854
L1FLnI_5q22.1h,109.9005766,208.5527126
L1FLI_12q14.2,106.2372241,58.12124776
L1FLnI_5q23.2ma,106.2372241,205.1338156
L1FLnI_5q14.1k,106.2372241,61.54014469
L1FLnI_7p14.3c,102.5738715,181.2015371
L1FLnI_14q24.2c,102.5738715,85.47242318
L1FLnI_Xq21.1yc,102.5738715,0
L1FLnI_12q22h,102.5738715,85.47242318
L1FLnI_15q11.1e,98.91051895,64.95904161
L1FLnI_5q23.1ja,98.91051895,99.14801089
L1FLnI_15q26.3m,98.91051895,47.86455698
L1FLnI_12q23.3f,98.91051895,451.2943944
L1FLnI_2p13.2a,98.91051895,246.1605788
L1FLnI_4p15.31q,98.91051895,88.8913201
L1FLnI_8p21.2m,95.2471664,95.72911396
L1FLnI_8q11.23n,95.2471664,191.4582279
L1FLnI_12q12ia,95.2471664,119.6613924
L1FLnI_11p15.5b,95.2471664,358.9841773
L1FLnI_4q23h,95.2471664,41.02676313
L1FLnI_Xq11.1s,95.2471664,99.14801089
L1FLnI_21p11.2f,95.2471664,10.25669078
L1FLnI_6q22.32f,95.2471664,0
L1FLnI_15q13.3c,91.58381384,215.3905064
L1FLnI_11q22.3a,91.58381384,51.28345391
L1FLnI_15q21.2b,91.58381384,85.47242318
L1FLnI_2p16.2g,91.58381384,109.4047017
L1FLnI_22q11.22b,91.58381384,194.8771248
L1FLnI_2q31.1t,91.58381384,30.77007234
L1FLnI_11q13.4f,91.58381384,153.8503617
L1FLnI_4p11h,91.58381384,6.837793854
L1FLnI_11p13u,87.92046129,23.93227849
L1FLnI_2q23.1d,87.92046129,109.4047017
L1FLnI_9q32a,87.92046129,68.37793854
L1FLnI_4p11b,87.92046129,170.9448464
L1FLnI_12q23.3v,87.92046129,54.70235083
L1FLnI_9q33.2b,87.92046129,273.5117542
L1FLnI_7q34c,87.92046129,140.174774
L1FLnI_Xq21.1of,87.92046129,1350.464286
L1FLnI_3q26.2i,84.25710874,95.72911396
L1FLnI_1p13.1a,84.25710874,58.12124776
L1FLnI_4q28.1t,84.25710874,129.9180832
L1FLnI_1p13.3e,84.25710874,830.7919533
L1FLnI_1q43n,84.25710874,0
L1FLnI_11q12.1k,84.25710874,222.2283003
L1FLnI_8q24.21v,84.25710874,10.25669078
L1FLnI_20q11.1g,84.25710874,47.86455698
L1FLnI_6q22.32a,80.59375618,20.51338156
L1FLnI_15q26.3d,80.59375618,75.2157324
L1FLnI_19q13.31c,80.59375618,92.31021703
L1FLnI_20p12.1i,80.59375618,71.79683547
L1FLnI_11p15.4y,80.59375618,123.0802894
L1FLnI_3p22.1z,80.59375618,27.35117542
L1ORF2_3q25.2,80.59375618,27.35117542
L1FLnI_11q22.3v,80.59375618,13.67558771
L1FLnI_6q25.3l,76.93040363,47.86455698
L1FLnI_3q26.32n,76.93040363,20.51338156
L1FLnI_8q22.2j,76.93040363,133.3369802
L1FLnI_Xq22.3x,76.93040363,0
L1FLnI_14q24.2b,76.93040363,68.37793854
L1FLnI_3q13.33i,76.93040363,136.7558771
L1FLnI_15q22.31b,76.93040363,615.4014469
L1FLnI_9q31.1a,76.93040363,222.2283003
L1FLnI_13q14.2w,76.93040363,95.72911396
L1FLnI_4p15.2x,76.93040363,99.14801089
L1FLnI_1q31.2m,73.26705107,41.02676313
L1FLnI_11q22.3t,73.26705107,75.2157324
L1FLnI_18p11.21m,73.26705107,10.25669078
L1FLnI_12q23.1ga,73.26705107,13.67558771
L1FLnI_1p22.1g,73.26705107,58.12124776
L1FLnI_4q24cb,73.26705107,112.8235986
L1FLnI_2p14w,73.26705107,75.2157324
L1FLnI_Xp11.21f,73.26705107,13.67558771
L1FLnI_19q13.31e,69.60369852,61.54014469
L1FLnI_8q23.1x,69.60369852,41.02676313
L1FLnI_5q31.1s,69.60369852,23.93227849
L1FLnI_15q11.2h,69.60369852,23.93227849
L1FLnI_7q21.13p,69.60369852,194.8771248
L1FLnI_18p11.23e,69.60369852,58.12124776
L1FLnI_4q21.3a,69.60369852,13.67558771
L1FLnI_9q21.11b,69.60369852,116.2424955
L1FLnI_4p11f,69.60369852,30.77007234
L1FLnI_7q21.2j,65.94034597,47.86455698
L1FLnI_1p31.3y,65.94034597,85.47242318
L1FLnI_1p13.3l,65.94034597,37.6078662
L1FLnI_10q26.13b,65.94034597,0
L1FLnI_3p22.2e,65.94034597,58.12124776
L1FLnI_7p14.3b,65.94034597,27.35117542
L1FLnI_12p11.22h,65.94034597,625.6581377
L1FLnI_9q13d,65.94034597,47.86455698
