"","count_MCF10A","count_MDAMB436"
"L1FLnI_2q14.3ha",7.14430678805444,6.22870610101871
"L1FLnI_15q22.2a",7.12981137612208,7.22834760805289
"L1FLnI_11p15.3c",7.12981137612208,5.87599422279441
"L1FLnI_4q12eb",7.11516883465993,6.21503732681297
"L1FLnI_1p12s",7.11516883465993,4.58900707674248
"L1FLnI_Xq11.2v",7.11516883465993,7.29482525621056
"L1FLnI_4q27u",7.10037614609363,7.59836859540269
"L1FLnI_8q23.1b",7.08543019904667,0.915221551100886
"L1FLnI_9q31.1d",7.07032778441158,4.45574862133805
"L1FLnI_19q13.31d",7.07032778441158,7.00033930985811
"L1FLnI_1q24.2f",7.05506559121329,5.52350790013058
"L1FLnI_7q21.13t",7.05506559121329,2.0573398912941
"L1FLnI_11p15.2f",7.03964020225122,8.31399098862802
"L1FLnI_11q13.5c",7.03964020225122,5.60961836911965
"L1FLnI_3q23f",7.02404808950579,6.15902889157178
"L1FLnI_2q33.1s",7.00828560929394,0.915221551100886
"L1FLnI_4q31.21q",7.00828560929394,4.20192310992686
"L1FLnI_4p16.3a",7.00828560929394,3.19882953898813
"L1FLnI_1q25.1k",7.00828560929394,4.63082009711779
"L1FLnI_9q22.32d",6.99234899715693,5.14519610760484
"L1FLnI_6q22.1ka",6.9762343624626,6.52302908216782
"L1FLnI_7p21.1k",6.94345479746356,2.28935193161896
"L1ORF2_4p15.32",6.92678140205028,4.1453041163462
"L1FLnI_16p12.2b",6.90991304073519,5.22921742629305
"L1FLnI_1q21.2f",6.90991304073519,6.04003241308669
"L1FLnI_17q21.31",6.87557279900268,5.02496016471369
"L1FLnI_15q21.3aa",6.87557279900268,6.22870610101871
"L1FLnI_3q13.2m",6.87557279900268,5.60961836911965
"L1FLnI_4p14p",6.87557279900268,5.4553730634349
"L1FLnI_5p13.3l",6.87557279900268,5.50115211365373
"L1FLnI_7q34a",6.85809118545077,6.29517202783227
"L1FLnI_4q24qa",6.84039512316077,5.58856801069731
"L1FLnI_13q14.2u",6.84039512316077,5.58856801069731
"L1FLnI_Xq28xa",6.84039512316077,5.76779693749249
"L1FLnI_2q37.1e",6.82247928495321,10.1394014443334
"L1FLnI_14q22.3j",6.8043381426316,5.72984891411679
"L1FLnI_Xq25ec",6.76735676565328,5.40809276863918
"L1FLnI_4q31.3a",6.74850437397038,5.96034415302694
"L1FLnI_8q24.22g",6.74850437397038,6.81343723044687
"L1FLnI_2q32.2g",6.74850437397038,5.58856801069731
"L1FLnI_12q12db",6.74850437397038,5.91032840330931
"L1FLnI_4p15.31r",6.72940234011696,6.10075746787708
"L1FLnI_5q13.3h",6.72940234011696,7.60362317168971
"L1FLnI_1q24.3l",6.71004396313242,7.52825819475869
"L1FLnI_11q12.1t",6.71004396313242,1.77717837243201
"L1FLnI_1q21.1c",6.71004396313242,5.17375082958815
"L1FLnI_6q22.1ca",6.65035956960652,6.65035956960652
"L1FLnI_6q27u",6.65035956960652,5.82290998526257
"L1FLnI_4q24sa",6.65035956960652,4.58900707674248
"L1FLnI_Yp11.2gb",6.62990310759571,4.02490274937343
"L1FLnI_15q26.1c",6.62990310759571,7.20779191686373
"L1FLnI_Xp11.21ma",6.58809878653255,3.08238487681994
"L1FLnI_15q13.1a",6.58809878653255,5.96034415302694
"L1FLnI_15q13.2c",6.5667333638962,6.95171978135256
"L1FLnI_9q31.1c",6.5667333638962,4.30888347602661
"L1FLnI_6q13m",6.5667333638962,7.10037614609363
"L1FLnI_8q11.21b",6.54504673145051,4.63082009711779
"L1FLnI_20q13.12e",6.54504673145051,9.20574734746337
"L1FLnI_7p12.1g",6.54504673145051,4.30888347602661
"L1FLnI_15q11.1f",6.54504673145051,5.76779693749249
"L1FLnI_12q13.2o",6.54504673145051,2.6616231926839
"L1FLnI_Yq11.21m",6.54504673145051,5.25617042230771
"L1FLnI_11p15.3h",6.52302908216782,5.4553730634349
"L1FLnI_14q23.1h",6.52302908216782,4.99326584483334
"L1FLnI_11p15.2m",6.50067015285474,5.63036585988601
"L1FLnI_19p12e",6.50067015285474,4.20192310992686
"L1FLnI_7q33i",6.50067015285474,2.95554129427102
"L1FLnI_12q23.1b",6.50067015285474,7.0318652113122
"L1FLI_16p12.3b",6.50067015285474,7.41326872547903
"L1FLnI_11q22.3z",6.50067015285474,3.82296712097201
"L1FLnI_8q22.2p",6.47795919541132,4.78689733541076
"L1FLnI_2p13.1a",6.47795919541132,6.29517202783227
"L1FLnI_10p12.31a",6.47795919541132,6.50067015285474
"L1FLnI_15q14b",6.47795919541132,4.71097162499218
"L1FLnI_22q11.23b",6.47795919541132,6.68051041916206
"L1FLnI_5q33.1b",6.47795919541132,5.74894773937613
"L1FLnI_12q12cb",6.45488494579007,5.84082270794839
"L1FLnI_18q21.33b",6.43143559043038,5.11606427844782
"L1FLnI_4q25na",6.43143559043038,5.99274967807781
"L1FLnI_5q14.3pb",6.40759872991777,-0.451890008743207
"L1FLnI_3q13.33x",6.38336133958796,6.79518129739351
"L1FLnI_11q23.1b",6.3587097267622,3.08238487681994
"L1FLnI_19q13.2d",6.3587097267622,8.34882790949381
"L1FLnI_2q34ba",6.33362948426219,4.78689733541076
"L1FLnI_4q13.3bb",6.33362948426219,6.21503732681297
"L1FLnI_7q21.3a",6.33362948426219,5.80477198024467
"L1FLnI_5q13.2j",6.28212160086157,5.72984891411679
"L1FLnI_3q23w",6.28212160086157,5.47844425903931
"L1FLnI_13q12.11g",6.25566109438994,6.13018742659851
