baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC107985995	656.709793329952	-3.46233224758205	0.238197443499615	-14.5355558679103	7.21256667124936e-48	1.12005882916694e-45
SERPINA3	139907.230154853	-2.02077861351273	0.139154290577179	-14.5218563159714	8.80919303862408e-48	1.35971229277381e-45
ETV4	1332.72115352402	2.60139355264288	0.179276096555802	14.5105432493236	1.03894481363314e-47	1.59396665744631e-45
PRICKLE2	3644.49031730257	1.87602372399747	0.129437351937	14.4936812745564	1.32828916123731e-47	2.02568074002346e-45
MCM5	3416.94110781656	2.53974715871723	0.175425688611781	14.4776239946119	1.67797904879665e-47	2.54373633421149e-45
CCND1	27705.2945354727	1.74091844713216	0.120351419725326	14.465292151147	2.00750784939315e-47	3.02527869280146e-45
FCAR	478.317334153484	3.58074612596188	0.24788752689759	14.4450435678484	2.69386895865949e-47	4.03573262583176e-45
LINC02970	932.418830800365	-2.9678262468395	0.206034890697898	-14.4044838075077	4.84927306203522e-47	7.22229744701246e-45
CLSPN	1480.09750260787	3.22775441201497	0.224218045871408	14.3956049544118	5.51402840989135e-47	8.16460904320424e-45
TRIML2	472.424651162003	3.85256827586537	0.268248797883783	14.3619218660375	8.97046084516781e-47	1.32057628210829e-44
CDCA2	2501.67888465707	2.23492245694789	0.155725586851808	14.3516714377496	1.0400018420994e-46	1.52222798359698e-44
PTAFR	5468.09582073361	1.94287858066724	0.135648554838804	14.3228844787623	1.57450018775868e-46	2.29139261610504e-44
GAA	11764.3213833932	-1.64152946778358	0.114701799530775	-14.3112791124358	1.86059389065135e-46	2.69236393222208e-44
MT1X	36222.3539339228	-2.05310560893385	0.143670490817576	-14.2903779144234	2.51242334547578e-46	3.6131307815688e-44
