Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001001396.2	7677.123782	-0.409246334	0.10350443	-3.953901626	7.69E-05	0.000835835
NM_001001419.2	2662.548072	0.402490484	0.130930767	3.074071078	0.002111591	0.014705503
NM_001001420.2	2654.748159	0.402779395	0.13077573	3.079924653	0.00207053	0.01447006
NM_001001433.2	661.4797313	-0.602566215	0.154780312	-3.893041725	9.90E-05	0.001041658
NM_001001484.2	360.3691639	-0.810377764	0.199290064	-4.066322966	4.78E-05	0.000548119
NM_001001521.1	800.3651786	0.896824697	0.146981569	6.101613287	1.05E-09	2.97E-08
NM_001001522.1	56.6790695	1.656347581	0.43356048	3.820338004	0.000133269	0.00135678
NM_001001523.1	246.6150303	-1.633580743	0.223292219	-7.315887465	2.56E-13	1.16E-11
NM_001001549.2	127.0236646	-1.197684137	0.286280314	-4.183606343	2.87E-05	0.000347556
NM_001001550.2	124.807478	-1.18737235	0.288563023	-4.11477652	3.88E-05	0.000454873
NM_001001555.2	139.7789174	-1.151159779	0.274496959	-4.193706863	2.74E-05	0.000333807
NM_001001660.2	183.1564781	-0.903109114	0.246610961	-3.662080182	0.000250176	0.00236519
NM_001001669.2	249.1528394	-1.084640677	0.259663628	-4.17709899	2.95E-05	0.000356735
NM_001001701.3	1273.360831	0.874423952	0.143705773	6.084821335	1.17E-09	3.25E-08
NM_001001788.3	86.74155047	1.04564281	0.356965249	2.929256597	0.003397738	0.021994665
NM_001001790.2	1374.501457	0.534547119	0.136654604	3.911665628	9.17E-05	0.000971566
NM_001001791.2	93.68689142	2.236991969	0.416541076	5.370399462	7.86E-08	1.60E-06
NM_001001795.1	1619.650079	-0.694180464	0.173670622	-3.997109338	6.41E-05	0.000711002
NM_001001852.3	22039.8289	-1.730923201	0.128514256	-13.46872527	2.39E-41	1.02E-38
NM_001001890.2	963.1507899	0.476033048	0.151121099	3.150010493	0.001632646	0.011852651
NM_001001924.2	144.7455535	-0.841195829	0.26780143	-3.141117765	0.001683043	0.012167906
NM_001001925.2	144.2509977	-0.833497499	0.268147022	-3.108360074	0.001881287	0.013362872
NM_001001928.2	726.1496915	-1.239846197	0.155510377	-7.972755371	1.55E-15	9.19E-14
NM_001001975.1	3061.952156	-0.834935613	0.126698907	-6.589919626	4.40E-11	1.50E-09
NM_001002029.3	1721.087821	-2.507941389	0.38884595	-6.449704274	1.12E-10	3.59E-09
